순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,장진혁,한화,74,16,11,5,68.8,0,2
2,이원석,한화,77,9,7,2,77.8,2,0
2,페라자,한화,101,12,7,5,58.3,5,0
4,노시환,한화,112,6,6,0,100,3,0
4,이도윤,한화,110,9,6,3,66.7,2,1
6,김태연,한화,105,5,3,2,60.0,5,0
6,문현빈,한화,81,7,3,4,42.9,3,1
6,안치홍,한화,109,5,3,2,60.0,1,0
6,이상혁,한화,35,5,3,2,60.0,0,1
6,황영묵,한화,99,10,3,7,30.0,1,0
11,정은원,한화,27,2,2,0,100,1,0
11,최인호,한화,75,2,2,0,100,3,0
13,박상언,한화,27,1,1,0,100,0,0
13,채은성,한화,99,2,1,1,50.0,5,0
13,하주석,한화,48,3,1,2,33.3,2,0
16,김강민,한화,41,0,0,0,-,0,0
16,김서현,한화,1,0,0,0,-,0,0
16,김인환,한화,34,0,0,0,-,1,0
16,박상원,한화,2,0,0,0,-,0,0
16,유로결,한화,12,1,0,1,0.0,0,1
16,이명기,한화,4,0,0,0,-,0,0
16,이재원,한화,58,0,0,0,-,2,0
16,이진영,한화,25,1,0,1,0.0,0,0
16,임종찬,한화,24,1,0,1,0.0,0,1
16,장규현,한화,1,0,0,0,-,0,0
16,주현상,한화,2,0,0,0,-,0,0
16,최재훈,한화,95,0,0,0,-,1,0
