순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,장진혁,한화,99,20,14,6,70.0,0,2
2,이원석,한화,87,10,8,2,80.0,4,0
3,페라자,한화,122,12,7,5,58.3,5,0
4,노시환,한화,136,6,6,0,100,3,0
4,이도윤,한화,134,10,6,4,60.0,2,1
6,김태연,한화,126,7,5,2,71.4,5,0
6,이상혁,한화,43,7,5,2,71.4,0,1
8,황영묵,한화,123,11,4,7,36.4,2,0
9,문현빈,한화,103,8,3,5,37.5,4,1
9,안치홍,한화,128,5,3,2,60.0,2,0
9,최인호,한화,82,3,3,0,100,3,0
12,정은원,한화,27,2,2,0,100,1,0
13,박상언,한화,27,1,1,0,100,0,0
13,채은성,한화,124,2,1,1,50.0,6,0
13,하주석,한화,64,3,1,2,33.3,2,0
16,권광민,한화,19,0,0,0,-,0,0
16,김강민,한화,41,0,0,0,-,0,0
16,김서현,한화,1,0,0,0,-,0,0
16,김인환,한화,51,0,0,0,-,1,0
16,박상원,한화,2,0,0,0,-,0,0
16,유로결,한화,23,1,0,1,0.0,1,1
16,이명기,한화,4,0,0,0,-,0,0
16,이재원,한화,72,0,0,0,-,2,0
16,이진영,한화,42,1,0,1,0.0,0,0
16,임종찬,한화,24,1,0,1,0.0,0,1
16,장규현,한화,9,0,0,0,-,0,0
16,장민재,한화,1,0,0,0,-,0,0
16,주현상,한화,2,0,0,0,-,0,0
16,최재훈,한화,116,0,0,0,-,1,0
16,한경빈,한화,1,0,0,0,-,0,0
