순위,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4
1,강성우,롯데,0.500,0,0,1,0.00,0,-,2.00,0.000,0.1,0.35
2,레이예스,롯데,0.354,45,125,102,1.23,9,0.49,3.83,0.161,81.4,0.306
3,손호영,롯데,0.333,34,62,68,0.91,5,0.30,3.36,0.240,49.8,0.312
4,황성빈,롯데,0.326,20,85,63,1.35,1,0.54,3.72,0.127,49.9,0.283
5,이정훈,롯데,0.309,7,25,15,1.67,1,0.61,4.13,0.086,12.2,0.271
6,나승엽,롯데,0.306,36,69,77,0.90,5,0.77,4.08,0.170,57.1,0.301
7,고승민,롯데,0.298,31,87,98,0.89,4,0.52,3.92,0.152,53.4,0.272
8,전준우,롯데,0.295,33,75,85,0.88,4,0.56,3.75,0.195,50.9,0.285
9,윤동희,롯데,0.295,40,106,104,1.02,3,0.66,4.24,0.156,67.9,0.282
10,박승욱,롯데,0.265,22,70,64,1.09,4,0.38,3.91,0.108,41.4,0.253
11,이학주,롯데,0.263,6,9,17,0.53,0,0.14,4.19,0.126,11.7,0.241
12,정훈,롯데,0.261,24,62,63,0.98,4,0.64,3.97,0.186,36.0,0.265
13,한동희,롯데,0.257,2,6,11,0.55,1,0.11,3.56,0.057,2.4,0.204
14,최항,롯데,0.250,4,36,31,1.16,2,0.31,4.09,0.038,10.8,0.211
15,노진혁,롯데,0.215,4,21,30,0.70,0,0.46,3.88,0.065,9.3,0.205
16,김민석,롯데,0.211,4,21,19,1.11,1,0.10,3.46,0.066,3.9,0.186
17,장두성,롯데,0.208,0,9,4,2.25,0,0.50,3.55,0.000,3.1,0.207
18,정보근,롯데,0.208,3,28,27,1.04,0,0.08,3.51,0.079,4.1,0.172
19,손성빈,롯데,0.205,12,31,39,0.79,1,0.31,4.20,0.197,13.5,0.218
20,김동혁,롯데,0.200,1,5,2,2.50,0,0.40,4.06,0.133,1.8,0.216
20,김민성,롯데,0.200,7,12,27,0.44,1,0.56,4.20,0.157,8.9,0.234
22,유강남,롯데,0.191,8,50,36,1.39,0,0.36,3.84,0.132,12.7,0.205
23,오선진,롯데,0.188,1,3,3,1.00,0,0.29,3.70,0.063,2.0,0.22
24,이주찬,롯데,0.174,2,7,3,2.33,1,0.11,3.75,0.174,1.3,0.181
25,서동욱,롯데,0.143,1,2,6,0.33,0,0.00,3.80,0.071,0.4,0.144
25,신윤후,롯데,0.143,0,5,10,0.50,1,0.33,4.20,0.000,0.5,0.148
27,김강현,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김상수,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,김원중,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,백두산,롯데,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.1,0.0
27,이선우,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
27,이호준,롯데,-,0,0,0,-,0,-,6.00,-,0.3,0.45
27,정대선,롯데,0.000,0,0,0,-,0,0.00,4.00,0.000,-0.2,0.0
27,추재현,롯데,-,0,0,0,-,0,-,-,-,0.2,0.0
27,현도훈,롯데,-,0,0,0,-,0,-,-,-,0.0,0.0
