순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,최지훈,SSG,106,37,32,5,86.5,2,0
2,오태곤,SSG,82,19,17,2,89.5,0,1
3,박성한,SSG,104,12,10,2,83.3,3,1
4,박지환,SSG,48,10,7,3,70.0,3,0
4,정준재,SSG,53,12,7,5,58.3,2,0
4,하재훈,SSG,76,7,7,0,100,1,0
7,최경모,SSG,50,9,6,3,66.7,0,0
8,이지영,SSG,86,6,5,1,83.3,0,0
8,최정,SSG,93,6,5,1,83.3,4,0
10,에레디아,SSG,98,7,4,3,57.1,4,0
10,추신수,SSG,59,5,4,1,80.0,2,0
12,김성현,SSG,45,2,2,0,100,0,0
13,고명준,SSG,88,5,1,4,20.0,0,1
13,김창평,SSG,6,1,1,0,100,0,0
13,안상현,SSG,29,2,1,1,50.0,0,0
16,강진성,SSG,16,0,0,0,-,0,0
16,김민식,SSG,36,0,0,0,-,1,0
16,김찬형,SSG,5,0,0,0,-,0,0
16,류효승,SSG,1,0,0,0,-,0,0
16,문승원,SSG,6,0,0,0,-,0,0
16,박민호,SSG,1,0,0,0,-,0,0
16,이로운,SSG,3,0,0,0,-,0,0
16,전의산,SSG,27,1,0,1,0.0,0,0
16,정현승,SSG,13,0,0,0,-,1,0
16,조병현,SSG,2,0,0,0,-,0,0
16,조형우,SSG,14,0,0,0,-,0,0
16,최민창,SSG,7,0,0,0,-,0,0
16,최상민,SSG,12,1,0,1,0.0,0,0
16,최준우,SSG,15,0,0,0,-,0,0
16,한두솔,SSG,1,0,0,0,-,0,0
16,한유섬,SSG,96,1,0,1,0.0,0,0
