순위,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사
1,박민우,NC,117,38,31,7,81.6,6,4
2,김주원,NC,131,22,16,6,72.7,5,0
3,김성욱,NC,126,14,10,4,71.4,0,1
4,천재환,NC,84,10,8,2,80.0,3,0
5,최정원,NC,61,10,7,3,70.0,3,0
6,손아섭,NC,81,8,6,2,75.0,4,0
7,권희동,NC,123,4,4,0,100,3,1
7,김휘집,NC,135,7,4,3,57.1,4,2
7,박건우,NC,89,4,4,0,100,0,0
7,박세혁,NC,82,4,4,0,100,1,0
11,박시원,NC,50,3,3,0,100,1,0
12,박영빈,NC,19,3,2,1,66.7,0,0
12,한석현,NC,36,3,2,1,66.7,1,0
14,도태훈,NC,95,1,1,0,100,1,0
14,서호철,NC,136,4,1,3,25.0,9,0
16,김범준,NC,5,0,0,0,-,0,0
16,김세훈,NC,7,0,0,0,-,0,0
16,김수윤,NC,9,0,0,0,-,0,0
16,김영규,NC,1,0,0,0,-,0,0
16,김재열,NC,1,0,0,0,-,0,0
16,김한별,NC,36,0,0,0,-,0,0
16,김형준,NC,116,0,0,0,-,3,0
16,데이비슨,NC,128,1,0,1,0.0,3,0
16,류진욱,NC,1,0,0,0,-,0,0
16,박한결,NC,28,0,0,0,-,0,0
16,송명기,NC,1,0,0,0,-,0,0
16,송승환,NC,3,0,0,0,-,0,0
16,신용석,NC,2,0,0,0,-,0,0
16,안중열,NC,6,0,0,0,-,0,0
16,오영수,NC,20,0,0,0,-,0,0
16,한재승,NC,1,0,0,0,-,0,0
16,한재환,NC,3,0,0,0,-,0,0
